text,label,label_id,stems
ini produk bagus banget,positive,2,"['produk', 'bagus', 'banget']"
kualitas terbaik,positive,2,"['kualitas', 'baik']"
harga terjangkau dan baik,positive,2,"['harga', 'jangkau', 'baik']"
pengiriman cepat terima kasih,positive,2,"['kirim', 'cepat', 'terima', 'kasih']"
sangat puas dengan produk ini,positive,2,"['sangat', 'puas', 'produk']"
rekomendasi produk terbaik,positive,2,"['rekomendasi', 'produk', 'baik']"
pelayanan excellent,positive,2,"['layan', 'excellent']"
produk berkualitas premium,positive,2,"['produk', 'kualitas', 'premium']"
oke banget deh,positive,2,"['oke', 'banget', 'deh']"
memuaskan sekali,positive,2,"['muas', 'sekali']"
kualitas jelek sekali,negative,0,"['kualitas', 'jelek', 'sekali']"
barang rusak tidak merekomendasikan,negative,0,"['barang', 'rusak', 'rekomendasi']"
tidak sesuai gambar,negative,0,"['sesuai', 'gambar']"
pengiriman lambat,negative,0,"['kirim', 'lambat']"
pelayanan kurang memuaskan,negative,0,"['layan', 'kurang', 'muas']"
harga mahal banget,negative,0,"['harga', 'mahal', 'banget']"
produk mengecewakan,negative,0,"['produk', 'kecewa']"
tidak worth it,negative,0,"['worth', 'it']"
jelek sekali,negative,0,"['jelek', 'sekali']"
sangat kecewa,negative,0,"['sangat', 'kecewa']"
