text,label,label_id,text_preprocessed,tokens,stems
"warung ini dimiliki oleh pengusaha pabrik tahu yang sudah puluhan tahun terkenal membuat tahu putih di bandung . tahu berkualitas , dipadu keahlian memasak , dipadu kretivitas , jadilah warung yang menyajikan menu utama berbahan tahu , ditambah menu umum lain seperti ayam . semuanya selera indonesia . harga cukup terjangkau . jangan lewatkan tahu bletoka nya , tidak kalah dengan yang asli dari tegal !",positive,2,warung dimiliki pengusaha pabrik tahu puluhan tahun terkenal membuat tahu putih bandung tahu berkualitas dipadu keahlian memasak dipadu kretivitas jadilah warung menyajikan menu utama berbahan tahu ditambah menu umum ayam semuanya selera indonesia harga cukup terjangkau jangan lewatkan tahu bletoka nya kalah asli tegal,"['warung', 'dimiliki', 'pengusaha', 'pabrik', 'tahu', 'puluhan', 'tahun', 'terkenal', 'membuat', 'tahu', 'putih', 'bandung', 'tahu', 'berkualitas', 'dipadu', 'keahlian', 'memasak', 'dipadu', 'kretivitas', 'jadilah', 'warung', 'menyajikan', 'menu', 'utama', 'berbahan', 'tahu', 'ditambah', 'menu', 'umum', 'ayam', 'semuanya', 'selera', 'indonesia', 'harga', 'cukup', 'terjangkau', 'jangan', 'lewatkan', 'tahu', 'bletoka', 'nya', 'kalah', 'asli', 'tegal']","['warung', 'milik', 'usaha', 'pabrik', 'tahu', 'puluh', 'tahun', 'kenal', 'buat', 'tahu', 'putih', 'bandung', 'tahu', 'kualitas', 'padu', 'ahli', 'masak', 'padu', 'kretivitas', 'jadi', 'warung', 'saji', 'menu', 'utama', 'bahan', 'tahu', 'tambah', 'menu', 'umum', 'ayam', 'semua', 'selera', 'indonesia', 'harga', 'cukup', 'jangkau', 'jangan', 'lewat', 'tahu', 'bletoka', 'nya', 'kalah', 'asli', 'tegal']"
mohon ulama lurus dan k212 mmbri hujjah partai apa yang harus diwlh agar suara islam tidak pecah-pecah,neutral,1,mohon ulama lurus k212 mmbri hujjah partai apa diwlh suara islam pecah pecah,"['mohon', 'ulama', 'lurus', 'k212', 'mmbri', 'hujjah', 'partai', 'apa', 'diwlh', 'suara', 'islam', 'pecah', 'pecah']","['mohon', 'ulama', 'lurus', 'k212', 'mmbri', 'hujjah', 'partai', 'apa', 'diwlh', 'suara', 'islam', 'pecah', 'pecah']"
"lokasi strategis di jalan sumatera bandung . tempat nya nyaman terutama sofa di lantai 2 . paella nya enak , sangat pas dimakan dengan minum bir dingin . appetiser nya juga enak-enak .",positive,2,lokasi strategis jalan sumatera bandung tempat nya nyaman terutama sofa lantai 2 paella nya enak sangat pas dimakan minum bir dingin appetiser nya enak enak,"['lokasi', 'strategis', 'jalan', 'sumatera', 'bandung', 'tempat', 'nya', 'nyaman', 'terutama', 'sofa', 'lantai', '2', 'paella', 'nya', 'enak', 'sangat', 'pas', 'dimakan', 'minum', 'bir', 'dingin', 'appetiser', 'nya', 'enak', 'enak']","['lokasi', 'strategis', 'jalan', 'sumatera', 'bandung', 'tempat', 'nya', 'nyaman', 'utama', 'sofa', 'lantai', '2', 'paella', 'nya', 'enak', 'sangat', 'pas', 'makan', 'minum', 'bir', 'dingin', 'appetiser', 'nya', 'enak', 'enak']"
betapa bahagia nya diri ini saat unboxing paket dan barang nya bagus ! menetapkan beli lagi !,positive,2,betapa bahagia nya diri unboxing paket barang nya bagus menetapkan beli,"['betapa', 'bahagia', 'nya', 'diri', 'unboxing', 'paket', 'barang', 'nya', 'bagus', 'menetapkan', 'beli']","['betapa', 'bahagia', 'nya', 'diri', 'unboxing', 'paket', 'barang', 'nya', 'bagus', 'tetap', 'beli']"
"duh . jadi mahasiswa jangan sombong dong . kasih kartu kuning segala . belajar dulu yang baik , tidak usahlah ikut-ikut politik . nanti sudah selesai kuliah nya mau ikut politik juga tidak telat . dasar mahasiswa .",negative,0,duh jadi mahasiswa jangan sombong dong kasih kartu kuning segala belajar dulu baik usahlah ikut ikut politik selesai kuliah nya mau ikut politik telat dasar mahasiswa,"['duh', 'jadi', 'mahasiswa', 'jangan', 'sombong', 'dong', 'kasih', 'kartu', 'kuning', 'segala', 'belajar', 'dulu', 'baik', 'usahlah', 'ikut', 'ikut', 'politik', 'selesai', 'kuliah', 'nya', 'mau', 'ikut', 'politik', 'telat', 'dasar', 'mahasiswa']","['duh', 'jadi', 'mahasiswa', 'jangan', 'sombong', 'dong', 'kasih', 'kartu', 'kuning', 'segala', 'ajar', 'dulu', 'baik', 'usah', 'ikut', 'ikut', 'politik', 'selesai', 'kuliah', 'nya', 'mau', 'ikut', 'politik', 'telat', 'dasar', 'mahasiswa']"
"makanan beragam , harga makanan di food stall akan ditambahkan 10 % lagi di kasir , suasana ramai dan perlu perhatian untuk mendapatkan parkir dan tempat duduk .",positive,2,makanan beragam harga makanan food stall ditambahkan 10 kasir suasana ramai perlu perhatian mendapatkan parkir tempat duduk,"['makanan', 'beragam', 'harga', 'makanan', 'food', 'stall', 'ditambahkan', '10', 'kasir', 'suasana', 'ramai', 'perlu', 'perhatian', 'mendapatkan', 'parkir', 'tempat', 'duduk']","['makan', 'agam', 'harga', 'makan', 'food', 'stall', 'tambah', '10', 'kasir', 'suasana', 'ramai', 'perlu', 'perhati', 'dapat', 'parkir', 'tempat', 'duduk']"
pakai kartu kredit bca tidak untung malah rugi besar,negative,0,pakai kartu kredit bca untung malah rugi besar,"['pakai', 'kartu', 'kredit', 'bca', 'untung', 'malah', 'rugi', 'besar']","['pakai', 'kartu', 'kredit', 'bca', 'untung', 'malah', 'rugi', 'besar']"
"tempat unik , bagus buat foto , makanan enak , pegawai ramah , bersih dan luas , wifi kencang . harga standar dan sesuai dengan tempat nya . ada menu masakan makanan barat dan indonesia . menu favorit lychee mojito dan spagheti",positive,2,tempat unik bagus buat foto makanan enak pegawai ramah bersih luas wifi kencang harga standar sesuai tempat nya menu masakan makanan barat indonesia menu favorit lychee mojito spagheti,"['tempat', 'unik', 'bagus', 'buat', 'foto', 'makanan', 'enak', 'pegawai', 'ramah', 'bersih', 'luas', 'wifi', 'kencang', 'harga', 'standar', 'sesuai', 'tempat', 'nya', 'menu', 'masakan', 'makanan', 'barat', 'indonesia', 'menu', 'favorit', 'lychee', 'mojito', 'spagheti']","['tempat', 'unik', 'bagus', 'buat', 'foto', 'makan', 'enak', 'pegawai', 'ramah', 'bersih', 'luas', 'wifi', 'kencang', 'harga', 'standar', 'sesuai', 'tempat', 'nya', 'menu', 'masakan', 'makan', 'barat', 'indonesia', 'menu', 'favorit', 'lychee', 'mojito', 'spagheti']"
"saya bersama keluarga baru saja menikmati pengalaman kuliner yang menyenangkan di rm sari sunda di jalan . setiabudhi , bandung . tapi , karena tidak ada hubungan untuk rm sari sunda di jalan . setiabudhi , maka saya tuliskan di sini . jadi , maaf jika rekan-rekan pembaca ada yang bingung . beberapa hal yang saya suka dari restoran ini adalah bahwa pelayanan restoran ini terbilang cepat .",positive,2,bersama keluarga baru menikmati pengalaman kuliner menyenangkan rm sari sunda jalan setiabudhi bandung hubungan rm sari sunda jalan setiabudhi tuliskan sini jadi maaf rekan rekan pembaca bingung beberapa suka restoran pelayanan restoran terbilang cepat,"['bersama', 'keluarga', 'baru', 'menikmati', 'pengalaman', 'kuliner', 'menyenangkan', 'rm', 'sari', 'sunda', 'jalan', 'setiabudhi', 'bandung', 'hubungan', 'rm', 'sari', 'sunda', 'jalan', 'setiabudhi', 'tuliskan', 'sini', 'jadi', 'maaf', 'rekan', 'rekan', 'pembaca', 'bingung', 'beberapa', 'suka', 'restoran', 'pelayanan', 'restoran', 'terbilang', 'cepat']","['sama', 'keluarga', 'baru', 'nikmat', 'alam', 'kuliner', 'senang', 'rm', 'sari', 'sunda', 'jalan', 'setiabudhi', 'bandung', 'hubung', 'rm', 'sari', 'sunda', 'jalan', 'setiabudhi', 'tulis', 'sini', 'jadi', 'maaf', 'rekan', 'rekan', 'baca', 'bingung', 'beberapa', 'suka', 'restoran', 'layan', 'restoran', 'bilang', 'cepat']"
bersyukur,positive,2,bersyukur,['bersyukur'],['syukur']
